Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2022-08-19,The Gray Man,2022,https://boxd.it/390mQj,4,,,2022-08-18
2022-11-23,The Menu,2022,https://boxd.it/3svt1Z,5,,,2022-11-22
2022-12-24,The Guilty,2021,https://boxd.it/3zzBlJ,3.5,,,2022-12-23
2022-12-26,Mr. Harrigan's Phone,2022,https://boxd.it/3A92SP,4,,,2022-12-25
2023-01-22,American Psycho,2000,https://boxd.it/3KcLc1,3.5,,,2023-01-21
2023-08-28,We Have a Ghost,2023,https://boxd.it/4LnPun,1,,,2023-03-24
2023-04-08,John Wick: Chapter 4,2023,https://boxd.it/45z2Cj,4,,,2023-04-07
2023-05-17,Ted,2012,https://boxd.it/4fSjuT,3,,,2023-05-16
2023-06-02,Blood & Gold,2023,https://boxd.it/4jT5Nb,2.5,,,2023-06-01
2023-07-23,They Cloned Tyrone,2023,https://boxd.it/4z1Q6T,3.5,,,2023-07-22
2023-08-10,The Negotiator,1998,https://boxd.it/4FH0Gt,4,,,2023-08-09
2023-08-31,Annihilation,2018,https://boxd.it/4Mm3Oh,3,,,2023-08-30
2023-09-08,As the Gods Will,2014,https://boxd.it/4OHWwR,3,,,2023-09-07
2023-11-21,The Walk,2015,https://boxd.it/5cea8l,4,,,2023-11-21
2023-12-03,A Haunting in Venice,2023,https://boxd.it/5giqcn,4,,,2023-12-03
2024-02-24,Unthinkable,2010,https://boxd.it/5TOvE7,4,,,2024-02-23
2024-03-01,Dune: Part Two,2024,https://boxd.it/5WFKcV,5,,,2024-02-29
2024-03-31,The Outfit,2022,https://boxd.it/6aZzzP,4.5,,,2024-03-31
2024-04-15,Glass,2019,https://boxd.it/6hotrT,3.5,,,2024-04-13
2024-04-15,Gran Turismo,2023,https://boxd.it/6hotNZ,4.5,,,2024-04-14
2024-09-25,Transformers One,2024,https://boxd.it/7p63KJ,4,,,2024-09-25
2025-01-06,Nosferatu,2024,https://boxd.it/8lhWPX,4.5,,,2025-01-05
2025-02-04,Late Night with the Devil,2023,https://boxd.it/8J9PEj,4,,,2025-02-03
2025-05-19,Heretic,2024,https://boxd.it/9Jp6cz,3.5,,,2025-05-18
2025-05-24,Novocaine,2025,https://boxd.it/9MB3hH,4,,,2025-05-23
2025-05-31,Mission: Impossible â€“ The Final Reckoning,2025,https://boxd.it/9R5jy1,4.5,,,2025-05-30
2025-05-31,Eraserhead,1977,https://boxd.it/9Rbt1X,5,,,2025-05-30
